# flag	name	capital	population
# Source: REST Countries API, Africa region, independent countries. Population values are approximate snapshots.
🇩🇿	Algeria	Algiers	47400000
🇦🇴	Angola	Luanda	36170961
🇧🇯	Benin	Porto-Novo	13224860
🇧🇼	Botswana	Gaborone	2359609
🇧🇫	Burkina Faso	Ouagadougou	24070553
🇧🇮	Burundi	Gitega	12332788
🇨🇲	Cameroon	Yaoundé	29442327
🇨🇻	Cape Verde	Praia	491233
🇨🇫	Central African Republic	Bangui	6470307
🇹🇩	Chad	N'Djamena	19340757
🇰🇲	Comoros	Moroni	919901
🇨🇩	DR Congo	Kinshasa	112832000
🇩🇯	Djibouti	Djibouti	1066809
🇪🇬	Egypt	Cairo	107271260
🇬🇶	Equatorial Guinea	Ciudad de la Paz	1668768
🇪🇷	Eritrea	Asmara	3607000
🇸🇿	Eswatini	Mbabane	1235549
🇪🇹	Ethiopia	Addis Ababa	111652998
🇬🇦	Gabon	Libreville	2469296
🇬🇲	Gambia	Banjul	2422712
🇬🇭	Ghana	Accra	33742380
🇬🇳	Guinea	Conakry	14363931
🇬🇼	Guinea-Bissau	Bissau	1781308
🇨🇮	Ivory Coast	Yamoussoukro	31719275
🇰🇪	Kenya	Nairobi	53330978
🇱🇸	Lesotho	Maseru	2116427
🇱🇷	Liberia	Monrovia	5248621
🇱🇾	Libya	Tripoli	7459000
🇲🇬	Madagascar	Antananarivo	31727042
🇲🇼	Malawi	Lilongwe	20734262
🇲🇱	Mali	Bamako	22395489
🇲🇷	Mauritania	Nouakchott	4927532
🇲🇺	Mauritius	Port Louis	1243741
🇲🇦	Morocco	Rabat	36828330
🇲🇿	Mozambique	Maputo	34090466
🇳🇦	Namibia	Windhoek	3022401
🇳🇪	Niger	Niamey	26312034
🇳🇬	Nigeria	Abuja	223800000
🇨🇬	Republic of the Congo	Brazzaville	6142180
🇷🇼	Rwanda	Kigali	14104969
🇸🇳	Senegal	Dakar	18593258
🇸🇨	Seychelles	Victoria	122729
🇸🇱	Sierra Leone	Freetown	9077691
🇸🇴	Somalia	Mogadishu	19655000
🇿🇦	South Africa	Pretoria	63100945
🇸🇸	South Sudan	Juba	15786898
🇸🇩	Sudan	Khartoum	51662000
🇸🇹	São Tomé and Príncipe	São Tomé	209607
🇹🇿	Tanzania	Dodoma	68153004
🇹🇬	Togo	Lomé	8095498
🇹🇳	Tunisia	Tunis	11972169
🇺🇬	Uganda	Kampala	45905417
🇿🇲	Zambia	Lusaka	19693423
🇿🇼	Zimbabwe	Harare	17073087
